14,1,0
16,13,12
17,34,16
17,16,12
17,12,11
55,68,65
55,65,45
55,45,39
55,39,57
55,57,68
39,45,34
39,34,17
37,25,19
37,19,29
37,29,48
37,48,57
37,57,39
37,39,25
25,39,17
25,17,11
25,11,19
19,11,10
19,10,9
19,9,29
48,69,57
36,49,48
36,48,29
24,30,36
24,36,29
24,29,9
24,9,8
15,24,8
15,8,7
15,7,31
15,31,30
15,30,24
36,30,50
36,50,49
50,30,31
51,50,31
51,31,40
61,51,40
62,61,40
62,40,46
63,70,62
63,62,46
44,42,41
44,41,47
44,47,60
44,60,59
44,59,52
44,52,42
52,59,79
52,79,63
52,63,46
52,46,42
32,42,46
26,22,5
26,5,20
26,20,32
26,32,46
26,46,40
26,40,22
22,40,31
22,31,6
22,6,5
32,20,21
32,21,28
32,28,42
42,28,41
63,79,70
85,102,93
76,85,93
76,93,80
76,80,71
76,71,70
76,70,85
85,70,79
95,90,98
106,95,98
106,98,109
106,109,118
125,106,118
129,137,125
129,125,118
123,129,118
123,118,109
123,109,107
123,107,127
133,123,127
133,127,141
133,141,148
133,148,142
133,142,129
133,129,123
129,142,137
135,125,137
146,154,165
146,165,151
146,151,135
146,135,137
146,137,142
146,142,154
138,134,124
138,124,122
138,122,135
138,135,151
138,151,150
138,150,134
134,150,143
134,143,130
134,130,121
134,121,124
124,121,111
113,124,111
113,111,99
113,99,102
113,102,110
113,110,122
113,122,124
114,125,135
114,135,122
114,122,110
104,114,110
104,110,102
94,104,102
94,102,85
94,85,79
94,79,95
103,104,94
103,94,95
103,95,106
103,106,114
103,114,104
114,106,125
95,79,90
102,99,93
93,99,91
93,91,80
71,80,61
71,61,62
71,62,70
82,81,100
96,116,101
84,73,69
84,69,82
84,82,96
84,96,101
84,101,88
84,88,73
96,82,100
96,100,112
96,112,116
112,100,108
112,108,121
112,121,120
116,112,120
126,116,120
130,126,120
130,120,121
130,143,144
130,144,126
126,144,136
126,136,128
126,128,116
115,116,128
115,128,119
105,115,119
105,119,117
105,117,97
105,97,89
105,89,88
105,88,101
105,101,115
115,101,116
75,73,88
75,88,89
75,89,77
75,77,68
75,68,73
73,68,57
73,57,69
64,82,69
64,69,48
64,48,49
64,49,50
64,50,58
64,58,81
64,81,82
81,58,61
81,61,80
81,80,92
81,92,100
61,58,51
51,58,50
31,7,6
53,43,54
67,56,53
67,53,54
67,54,74
67,74,78
72,67,78
83,72,78
83,78,87
83,87,98
83,98,90
83,90,72
66,72,90
66,90,79
66,79,59
66,59,60
66,60,72
72,60,56
72,56,67
56,60,47
56,47,53
53,47,43
111,121,108
111,108,99
154,142,148
161,154,148
161,148,155
161,155,169
184,195,187
176,184,187
176,187,182
176,182,165
176,165,154
176,154,161
176,161,184
184,161,169
184,169,185
184,185,197
184,197,195
192,182,187
202,192,187
195,202,187
203,218,195
203,195,197
203,197,206
203,206,219
203,219,218
195,218,217
195,217,202
202,217,216
204,192,202
204,202,216
204,216,215
201,204,215
200,191,193
200,193,201
205,200,201
205,201,215
205,215,214
205,214,200
200,214,207
200,207,191
191,183,193
190,191,207
190,207,208
199,190,208
199,208,212
198,189,199
198,199,212
198,212,211
198,211,210
198,210,194
198,194,188
198,188,189
177,175,189
177,189,188
177,188,181
171,177,181
170,166,164
170,164,163
170,163,171
170,171,181
170,181,180
170,180,166
171,163,160
171,160,175
171,175,177
174,175,160
167,174,160
167,160,158
167,158,162
167,162,173
167,173,179
167,179,174
174,179,190
174,190,175
175,190,189
189,190,199
190,179,191
191,179,183
201,193,192
201,192,204
178,168,182
178,182,192
178,192,193
183,178,193
183,179,173
183,173,178
178,173,168
158,150,162
160,152,158
160,163,159
160,159,152
152,143,158
145,159,153
139,153,147
132,139,147
132,147,140
132,140,131
132,131,119
132,119,128
132,128,136
132,136,139
139,136,145
139,145,153
145,136,144
145,144,152
145,152,159
159,163,164
159,164,157
159,157,153
153,157,147
144,143,152
143,150,158
168,173,162
168,162,150
168,150,151
168,151,165
168,165,182
92,91,99
100,92,99
100,99,108
92,80,91
47,41,38
43,47,38
33,43,38
27,33,38
27,38,41
27,41,28
27,28,18
27,18,1
23,27,1
23,1,14
23,14,35
23,35,33
23,33,27
33,35,43
43,35,54
20,5,4
21,20,4
21,4,3
21,3,18
21,18,28
68,77,65
148,141,155
207,214,213
208,207,213
208,213,212
194,210,196
194,196,186
180,194,186
180,186,172
181,188,194
181,194,180
166,157,164
166,180,172
166,172,156
166,156,157
149,157,156
149,156,140
147,157,149
147,149,140
119,131,117
89,97,77
98,87,109
78,74,86
109,87,107
87,78,86
87,86,107
18,3,2
18,2,1
209,196,210
