#hour	Tair[°C]	Prec[mm]	RH[%]	windSpeed[m/s]	windDir(°)	globRad[W/m2]
18	9.3	0	74	1.9	113	0
19	8.8	0	78	2	119	0
20	8.8	0	78	1.4	99	0
21	8.6	0	75	1.5	101	0
22	8.6	0	69	1.6	104	0
23	8.3	0	68	1.4	181	0
0	7.6	0	68	0.2	77	0
1	6.7	0	69	0.2	270	0
2	6.1	0	72	1.3	210	0
3	6.2	0	74	2.3	220	0
4	5.6	0	77	1.7	213	0
5	5.5	0	82	1.6	222	0
6	5.5	0	83	2	95	0
7	6.2	0	82	1.2	93	0
8	5.7	0	85	0.8	74	9.3
9	6.2	0	85	0.7	216	47.5
10	9.2	0	80	0.9	332	184.9
11	10.4	0	77	1.6	359	261.8
12	10.2	0	79	2.2	348	301.4
13	10.4	0	78	1.8	341	295.4
14	9.6	0	81	1.6	336	237.4
15	8.2	0	87	1.2	335	126.4
16	6.8	0	92	0.8	290	39
17	6.1	0	94	0.9	304	6.5
18	5.1	0	95	1.6	293	0
19	4.6	0	96	1.1	277	0
20	4.4	0	97	1.2	284	0
21	4.8	0	98	1.5	295	0
22	5.3	0	99	1.2	274	0
23	5	0	99	0.7	274	0
0	5.1	0	100	1.5	298	0
1	5.4	0	100	1.2	239	0
2	6.1	0	100	2.4	219	0
3	6.1	0	100	2.8	220	0
4	5.2	0	100	2.6	223	0
5	5.8	0	100	3	227	0
6	6.2	0	100	1.8	230	0
7	6.7	0	99	1.3	221	0
8	7	0	96	1.1	213	4.6
9	7.6	0	94	1.1	224	33.2
10	8.4	0.2	92	1.3	257	70.3
11	8.9	0	89	1.3	335	68.5
12	9.7	0	85	1	347	174.7
13	9.7	0	81	1.4	20	116.6
14	10.5	0	80	1.4	56	190.5
15	10.4	0	80	2.3	126	125.9
16	9.8	0	82	2.1	300	44.2
17	8	0	88	1.7	283	8.4
18	8.1	0	93	1	145	0
19	7.8	0	94	0.8	190	0
20	7.2	0	96	2.2	176	0
21	7.2	0	97	0.9	186	0
22	7	0	98	5.7	164	0
23	7.1	0	99	3.1	167	0
0	6.8	0	99	2	179	0
1	6.6	0	99	0.5	95	0
2	6.6	0	100	0.8	101	0
3	6.9	0	100	0.3	231	0
4	7.1	0	101	1.3	269	0
5	7.2	0	101	1.7	289	0
6	7.3	0	101	0.9	329	0
7	7.3	0	101	1.4	263	0
8	7.4	0	101	1.1	209	2.9
9	7.5	0	101	1.1	292	11.7
10	7.8	0	101	2	295	48.6
11	8.3	0	101	2.3	276	89
12	8	0	101	3	244	36.8
13	8	0	101	1.8	234	67.6
14	8.5	0	101	2.4	269	71.5
15	8.6	0	101	2	244	48.6
16	8.6	0	101	1.8	262	18.7
17	8.4	0	101	2	245	3.8
18	8.2	0	100	5.7	210	0
19	8.2	0	99	3.2	199	0
20	7.5	0	98	1.5	241	0
21	6.9	0	98	3.1	244	0
22	7	0	99	1.1	311	0
23	7.4	0	100	1.9	229	0
0	8	0	100	1.9	259	0
1	8.3	0	100	1.5	261	0
2	8.2	0	99	1.7	208	0
3	8.3	0	99	1.7	225	0
4	8.6	0	99	1.6	228	0
5	8.7	0	99	1.7	207	0
6	8.7	0	99	1.4	195	0
7	8.9	0	99	0.3	4	0
8	9	0	99	1.4	356	5.2
9	9.1	0	99	1.4	40	31.2
10	9.4	0	99	0.5	85	41.9
11	9.6	0	99	1.8	56	63.6
12	9.7	0	98	2.2	46	70.4
13	9.9	0	98	2.2	36	73.6
14	9.9	0	98	2.3	37	46.4
15	9.8	0	99	1.9	23	25.4
16	9.5	0	99	1.7	52	11.3
17	9.2	0	100	2.2	61	3.1
18	9.2	0.2	101	1.6	15	0
19	9.2	0	101	1.1	48	0
20	9.2	0.2	101	1.5	36	0
21	9.2	0	101	2.3	63	0
22	9	0	101	2.1	54	0
23	8.9	0	101	1.6	66	0
0	8.8	0	101	2.4	71	0
1	9	0	101	2.9	79	0
2	9	0	101	2.1	67	0
3	9	0	101	1	64	0
4	8.9	0	101	1.6	153	0
5	8.8	0.2	101	2.5	157	0
6	8.6	0	101	4.5	148	0
7	8.2	0	101	3.8	143	0
8	8.2	0	101	3.3	126	3.8
9	11.9	0	101	2.9	130	28.7
10	9.8	0	101	2.6	107	40.3
11	11.4	0	101	2.5	120	105.9
12	15	0	101	2.6	126	88.1
13	14.7	0	97	1.1	69	44.9
14	16.5	0	85	3.7	134	110.2
15	17.4	0	73	3.3	126	111.7
16	16.6	0	72	2.7	134	40.2
17	16.9	0	68	2.7	156	5.3
18	15.9	0	71	3.2	139	1.3
19	14.6	0	79	1.3	131	1.1
20	12.8	0	89	1.4	153	0
21	12.6	0	92	1.2	139	0
22	11.4	0.6	96	1.3	156	0
23	11.4	0.6	99	1.4	174	0
0	11.2	1.2	100	2.7	183	0
1	11.3	1.4	101	2.6	202	0
2	11.5	1.4	101	0.6	245	0
3	11.3	0.2	101	2.7	214	0
4	11.2	0	101	1	145	0
5	10.9	0	101	2	30	0
6	10.7	0	101	2.1	31	0
7	10.2	0	101	1.7	289	0
8	10.1	0	101	1.8	238	3.3
9	10.1	0	101	1.8	235	18
10	10.4	0	101	1.3	261	68.2
11	10.8	0	101	1.5	249	81.6
12	10.9	0	101	2.3	233	71.7
13	11	0	101	2	228	79.2
14	11.2	0	101	2.2	297	93.2
15	11.2	0	101	1	247	56.9
16	11.1	0	99	1.1	249	16.8
17	10.9	0	98	0.7	125	4.9
18	10.7	0	97	2	95	0
19	10.9	0	97	1.1	344	0
20	10.7	0	99	2.8	167	0
21	10.5	0	100	2.8	179	0
22	10.5	0	101	4	179	0
23	10.5	0	101	5.2	176	0
0	10.4	0	101	5.7	175	0
1	10.1	0	101	3.8	191	0
2	9.3	0	101	1.6	232	0
3	10.4	0	101	5.3	187	0
4	8.7	0	101	2.2	211	0
5	9	0	101	5.2	201	0
6	13.2	0	86	5.6	199	0
7	14.1	0	72	5.6	219	0
8	14.1	0	74	3.8	197	4.4
9	14.3	0	74	3.5	127	22.6
10	15.1	0	70	2.2	125	120.6
11	16.6	0	68	4.1	151	178.7
12	16.5	0	65	3.3	131	119.4
13	16.6	0	64	2.8	131	140
14	16.3	0	65	2.2	128	98.4
15	16.9	0	61	3.7	136	102.8
16	15.5	0	62	4.6	141	36.8
17	14.9	0	58	4.2	135	7
18	15.2	0	55	2.7	124	0
19	15.2	0	56	4.5	133	0
20	15.8	0	57	2.5	122	0
21	15.3	0	61	4.9	139	1.1
22	14.7	0	64	6.7	171	0
23	15.6	0	57	7.3	170	0
0	16	0.2	55	11.7	179	1.1
1	15.3	0	59	12.4	180	1.2
2	15.4	0	58	8.3	178	1.1
3	14.5	0.6	64	6.6	181	0
4	14.6	0.2	69	6.2	170	0
5	13.4	1.4	81	5.1	192	0
6	12.8	1	87	4.7	192	0
7	12.4	2.6	90	5.7	182	0
8	12	0.4	86	4.8	195	2.9
9	11.9	0	79	8.1	218	16.2
10	12.8	0	64	6	218	30.2
11	13.3	0	54	8.2	221	66
12	14.9	0	44	7.4	220	311
13	14.9	0	40	4.3	218	254.8
14	14.8	0	39	5.4	222	152.3
15	14.5	0	45	3.9	207	160
16	13	0	51	5.6	177	41.2
17	11.3	0	60	7	192	6.1
18	11.4	0	59	5.4	164	0
19	11.2	0	56	8.5	165	0
20	11	0	60	7.6	221	0
21	10.9	0	59	2.2	316	0
22	10.8	0	61	4.6	266	0
23	9.4	0	74	5.6	294	0
0	9.9	0	67	1.4	337	0
1	10.4	0	55	5.4	279	0
2	9.8	0	57	4	272	0
3	9.4	0	59	4.6	268	0
4	9.1	0	59	2.5	234	0
5	9.6	0	54	6.1	231	0
6	10.6	0	49	1.1	152	0
7	10.4	0	52	1	284	0
8	7.5	0	62	0.3	307	5.2
9	6.5	0	71	0.7	201	26.5
10	10.1	0	61	1	136	174.2
11	12.6	0	55	1.4	151	258.8
12	12.8	0	58	1.6	125	297.9
13	13.7	0	51	2.5	74	301.8
14	13.9	0	50	2.9	94	250.3
15	13.5	0	56	2.4	98	174.4
16	12.5	0	63	2.6	120	74.3
17	9.9	0	73	2	141	8.3
18	9.5	0	80	1.9	140	0
19	9.6	0	80	1.4	91	0
20	9.5	0	80	0.5	61	0
21	8.9	0	80	0.2	75	0
22	8.3	0	82	0.5	19	0
23	7.7	0	83	0.9	327	0
0	7.9	0	83	1.3	330	0
1	7.4	0	84	1.2	274	0
2	7.2	0	83	2.1	222	0
3	6.9	0	83	2	235	0
4	6.5	0	85	3	219	0
5	7.1	0	85	3	213	0
6	6.3	0	84	3.3	219	0
7	6	0	86	2.6	229	0
8	5.6	0	89	3.2	218	5.2
9	6	0	90	2.9	210	33
10	7.5	0	85	3.2	203	160.7
11	8.8	0	83	2.1	245	248.4
12	10.4	0	79	1.9	279	303
13	10.3	0	77	1.6	287	276
14	10.3	0	72	2	238	192.9
15	10.2	0	70	1.7	219	159.2
16	9.6	0	71	2	216	58.5
17	7.7	0	76	2.5	216	8.5
18	6.8	0	81	2.9	203	0
19	6.6	0	83	2.9	207	0
20	5.3	0	86	2.7	205	0
21	4.8	0	89	2	209	0
22	4.6	0	89	1.5	196	0
23	4.7	0	84	2.6	214	0
0	4.8	0	83	3	204	0
1	4.3	0	83	3.9	214	0
2	3.9	0	84	3.3	200	0
3	3.9	0	86	4.3	205	0
4	4	0	85	2.8	200	0
5	4.4	0	84	3	209	0
6	4.2	0	83	3.8	212	0
7	3.8	0	84	3.4	203	0
8	3.5	0	84	2.9	214	5.6
9	4.4	0	84	3.3	203	30.6
10	6.5	0	76	2.4	223	167.8
11	8.9	0	70	1.5	316	256.7
12	10.6	0	67	1.3	329	305.8
13	10.5	0	67	1.4	314	297.3
14	11	0	65	1	37	260
15	10.4	0	64	1.3	32	155.3
16	9.3	0	68	2.4	360	51.7
17	6.8	0	77	2	95	11.3
18	6.4	0	79	3.2	218	0
19	6.3	0	79	1.4	288	0
20	5.5	0	83	1.7	234	0
21	5.7	0	83	3.1	219	0
22	5.9	0	83	2.6	212	0
23	5.7	0	82	1.8	209	0
0	5.7	0	82	1.8	211	0
1	5.3	0	80	2.1	219	0
2	5.5	0	77	2.7	228	0
3	5.4	0	76	3.1	209	0
4	5.8	0	75	2.9	214	0
5	6	0	73	3.3	220	0
6	5.6	0	72	3.5	217	0
7	5.6	0	73	3.9	215	0
8	5.8	0	70	4	214	3.7
9	6.4	0	68	4.4	234	46
10	7.5	0	61	3	232	123.8
11	8.6	0	59	3.4	228	213.4
12	10.5	0	56	3.3	233	303.4
13	11.2	0	48	2.2	259	283.3
14	11.9	0	45	2.3	264	260.2
15	11	0	48	2.1	262	179.8
16	9.8	0	53	3	250	62.4
17	7.4	0	57	3.5	216	8.2
18	6.8	0	62	3.9	216	0
19	7	0	61	4.7	210	0
20	6.9	0	61	4.5	214	0
21	6.6	0	60	4.3	217	0
22	5.6	0	58	4.4	212	0
23	6.6	0	56	4.3	211	0
0	5.6	0	55	4.1	212	0
1	6.1	0	53	3.6	215	0
2	4.8	0	53	4.3	215	0
3	6.2	0	51	4.5	220	0
4	6.3	0	53	4.3	211	0
5	6.5	0	56	4.5	212	0
6	6.2	0	54	4.6	203	0
7	6.4	0	46	4.1	218	0
8	4.8	0	45	2.9	220	5.1
9	5.1	0	43	1.9	223	24.6
10	8.3	0	40	1.7	210	174.9
11	11.2	0	38	3	213	263.7
12	12.1	0	34	1.2	218	309.4
13	13.1	0	31	1.4	319	312.8
14	13	0	32	1.3	351	270.7
15	12.8	0	33	0.9	347	187.1
16	11.8	0	36	0.9	227	61.7
17	7.9	0	46	1.4	166	7.9
18	8.4	0	46	1.3	308	0
19	7.7	0	46	0.9	297	0
20	7.1	0	51	1	269	0
21	6.6	0	50	2.7	217	0
22	6	0	48	3.4	199	0
23	6	0	45	2.5	211	0
0	5.8	0	44	2.8	211	0
1	5.9	0	43	1.8	205	0
2	5.9	0	42	0.7	87	0
3	6.5	0	39	0.9	315	0
4	5.6	0	41	0.6	228	0
5	5.7	0	44	0.4	207	0
6	5.5	0	45	2.5	211	0
7	5.3	0	45	0.7	221	0
8	5.1	0	44	2.2	216	5.3
9	5.8	0	43	1.2	216	48.4
10	7.9	0	42	1.3	183	147.1
11	10.2	0	45	1.4	327	226.9
12	10.5	0	45	1	324	270.1
13	11.5	0	45	1.2	293	266.4
14	11.8	0	45	0.8	349	229.2
15	11.7	0	44	0.9	43	156.9
16	10.7	0	51	0.4	116	61.4
17	7.9	0	63	2.9	202	8.8
18	7.3	0	62	2.6	204	0
19	7.4	0	57	2.1	208	0
20	7	0	56	1.8	211	0
21	8	0	53	1.4	277	0
22	7.7	0	53	1.1	259	0
23	7.8	0	49	0.9	274	0
0	7	0	47	1.6	249	0
1	5.8	0	57	2.2	215	0
2	5.7	0	61	1.8	221	0
3	6.4	0	53	2	199	0
4	5.9	0	56	1.8	189	0
5	5.9	0	52	0.2	279	0
6	6.5	0	49	0.2	147	0
7	6.4	0	49	0.4	86	0
8	6.4	0	50	1.3	155	4.3
9	7.4	0	48	1.2	330	45.1
10	8.7	0	50	1.7	27	137.5
11	10	0	52	1.8	32	232.1
12	9.8	0	57	1.7	62	201.8
13	10.3	0	63	1.3	34	223.5
14	9	0	64	1.8	74	70.7
15	8.5	0	68	0.3	43	43
16	8.4	0	70	0.8	92	26.7
17	8	0	73	1.3	40	4.1
18	7.6	0	74	1.3	52	0
19	6.8	0	79	1.4	194	0
20	6.1	0	83	2	214	0
21	5.9	0	85	1.9	211	0
22	6.2	0	86	1.8	194	0
23	6.5	0	85	0.9	219	0
0	6.6	0	83	1	215	0
1	6.8	0	80	1.1	1	0
2	6.9	0	77	1.1	291	0
3	6.3	0	81	1.7	223	0
4	6	0	84	1.4	226	0
5	5.7	0	86	2.7	207	0
6	5.7	0	89	2.5	215	0
7	6.1	0	88	3.3	208	0
8	6.1	0	87	2.4	213	2
9	6.4	0	85	3.4	205	16.8
10	6.8	0	83	2.6	212	56.5
11	7.5	0	79	2.3	237	102
12	8.1	0	77	2.7	234	93.9
13	7.9	0	77	2.2	229	59.5
14	8.1	0	75	2.2	212	70
15	8.1	0	72	1.8	215	42
16	8.2	0	68	1.8	217	15.7
17	8	0	68	1.4	213	3.5
18	7.8	0	72	1.2	225	0
19	7.6	0	72	1.2	230	0
20	7.5	0	75	1.4	279	0
21	7.1	0	79	1.2	269	0
22	6.9	0	84	1.4	223	0
23	7.1	0	86	2.3	217	0
0	7.2	0	84	2.7	211	0
1	7.1	0.8	84	3.9	201	0
2	6.9	0.8	86	4.5	200	0
3	6.6	0	89	3.1	213	0
4	6.8	0	90	3.4	219	0
5	6.8	0.6	90	3.9	218	0
6	6.8	0.2	91	3.5	215	0
7	6.9	0	92	3.5	217	0
8	6.9	0	93	4.3	210	1.6
9	6.9	0	94	2.9	225	12.6
10	7.2	0	95	4.4	222	25
11	7.3	0	95	4	219	28.9
12	7.4	0	96	3.6	250	28.9
13	7.7	0.2	97	3.4	264	25.7
14	7.5	0.4	97	2.7	252	28.1
15	7.5	0.2	98	3.5	224	23.3
16	7.5	0.4	98	2.8	207	6.4
17	7.7	0.2	99	6.7	22	1.7
18	8.1	2.4	100	6.6	40	0
19	7.6	1	100	5.6	10	0
20	7.2	1.4	100	4.5	20	0
21	6.6	0.6	100	4.1	8	0
22	6.3	1.2	100	3.9	356	0
23	6	0.6	100	2.8	340	0
0	6	0	100	3.1	350	0
1	6	0.2	100	2.5	351	0
2	5.7	0.2	100	2.9	342	0
3	5.6	0	98	1.7	324	0
4	5.6	0	96	1.5	294	0
5	5.5	0	94	2.4	346	0
6	5.3	0	91	1.4	271	0
7	5.2	0	89	2.3	247	0
8	5.1	0	89	3.1	236	2
9	4.9	0	88	2.5	250	10.5
10	5.1	0	87	2.8	239	26.8
11	5.3	0.4	85	1.3	280	38.5
12	5.2	0.2	84	2.7	225	50.7
13	4.9	0.4	87	2.3	213	27.2
14	5.4	0	89	2.8	219	49.1
15	6	0	86	2.3	244	48.6
16	6.4	0	84	2.7	322	42.7
17	6.3	0	81	2.4	314	8.7
18	5.8	0	80	2.8	314	0
19	5.2	0	79	3.9	325	0
20	4.6	0	77	3.3	321	0
21	4.7	0	75	2.2	279	0
22	4.9	0	74	1.9	285	0
23	4.8	0	74	2.4	273	0
0	4.5	0	75	2.6	275	0
1	4.2	0	73	2.1	257	0
2	4.4	0	73	3.9	241	0
3	3.6	0	73	3.1	238	0
4	3.3	0	75	3.3	239	0
5	3.2	0	75	3.4	225	0
6	3.3	0	75	3.7	221	0
7	2.9	0	77	3.1	230	0
8	2.7	0	79	2.9	231	3.4
9	2.7	0	78	3.1	225	29.8
10	4.3	0	74	2.4	292	143.9
11	5.8	0	71	2.6	314	224.9
12	6.5	0	66	3.1	315	272
13	7	0	66	2.2	323	271.7
14	7.3	0	67	2.6	335	183.5
15	7	0	64	2.5	322	103.4
16	6.1	0	63	2.3	294	42.2
17	4.5	0	67	1.4	300	8.9
18	4.1	0	68	1.8	312	0
19	3.7	0	61	1.7	264	0
20	3.8	0	59	2.5	256	0
21	4.4	0	63	2.8	250	0
22	4.6	0	65	3.4	248	0
23	4	0	68	3.6	242	0
0	3.3	0	70	3.1	227	0
1	3	0	72	3.3	251	0
2	2.9	0	73	3	226	0
3	3.6	0	72	2.8	225	0
4	3.2	0	72	3.3	227	0
5	3	0	71	3.5	249	0
6	3.5	0	70	3.5	246	0
7	3.3	0	69	3.3	251	0
8	3.3	0	70	3.3	254	3.6
9	3.2	0	67	3.6	251	35.6
10	3.8	0	66	2.2	269	54.8
11	4.4	0	65	3	273	69.9
12	5.7	0	58	3.6	328	204.4
13	6.6	0	56	3	303	211.7
14	6.7	0	62	2.7	288	192.7
15	6.6	0	64	3.4	295	84.2
16	6.3	0	68	3.3	292	24.7
17	5.9	0	73	3.7	303	3.3
18	5.6	0	77	3.1	332	0
19	5.9	0	78	2.6	348	0
20	6	0	77	6	6	0
21	6.2	0	76	5.9	7	0
22	6.4	0	72	5.2	358	0
23	6	0	73	4.8	6	0
0	5.7	0	74	4.8	357	0
1	5.6	0	74	4.9	2	0
2	5.4	0	74	3.7	352	0
3	5.3	0	74	2.6	326	0
4	4.8	0	77	1.6	313	0
5	4.9	0	79	2	332	0
6	4.9	0	79	1.9	253	0
7	4.4	0	79	2	268	0
8	4.5	0	80	2.1	286	3
9	4.4	0	79	1.8	252	27.1
10	5.3	0	76	2.5	256	76.4
11	6.2	0	73	1.9	256	175.5
12	6.8	0	68	2.4	247	186.4
13	6.4	0	69	3.2	219	153.1
14	7.5	0	66	2.9	259	201.8
15	7.9	0	66	2.7	263	99.3
16	7.3	0	68	2.3	264	46.6
17	6.8	0	70	3.4	290	7.3
18	6.6	0	68	3	294	0
19	5.3	0	64	2.2	275	0
20	4.4	0	65	2.3	261	0
21	4.3	0	67	2.9	235	0
22	3.9	0	69	3.8	226	0
23	3.8	0	70	3.3	225	0
0	3.4	0	72	3.1	219	0
1	3.3	0	73	4.2	212	0
2	3.2	0	73	4.4	210	0
3	3.3	0	74	4.6	205	0
4	3.2	0	74	4.8	202	0
5	3.4	0	71	4.9	204	0
6	3.2	0	71	5	202	0
7	3	0	72	4	218	0
8	2.7	0	72	3.9	211	3.9
9	2.3	0	74	3.6	216	29.7
10	4	0	70	3.4	211	143.6
11	5.9	0	63	2.6	248	232.6
12	6.6	0	61	1.8	257	240.7
13	6.8	0	62	1.4	246	207.1
14	7.8	0	58	2.8	329	200.8
15	7.8	0	60	2.4	253	182.1
16	6.8	0	61	3	215	64.7
17	4.6	0	65	3.3	217	9.3
18	3.8	0	69	3.8	211	0
19	4.2	0	68	3.6	210	0
20	3.8	0	71	4	210	0
21	4	0	68	4	208	0
22	3.8	0	68	4.5	291	0
23	4.2	0	65	4.7	292	0
0	4.2	0	66	4.7	210	0
1	4.5	0	65	4.9	213	0
2	4.7	0	60	4.8	214	0
3	4.8	0	60	4.8	207	0
4	5.1	0	58	4.8	211	0
5	5.4	0	57	4.8	217	0
6	5.6	0	58	4.9	210	0
7	5.3	0	59	4.4	209	0
8	5.5	0	61	3.4	220	3.8
9	5.8	0	60	4.4	207	26.6
10	7	0	56	4.2	213	152.4
11	8.3	0	52	3.3	234	245.2
12	9.6	0	46	3.2	247	292.2
13	10.5	0	42	3.2	254	300.1
14	11.2	0	41	3.6	238	267
15	10.8	0	38	3.6	238	196
16	10.4	0	39	3.8	217	72
17	8.1	0	45	3.8	226	9.6
18	6.3	0	51	4.1	211	0
19	7.9	0	50	5.1	201	0
20	8.1	0	49	4	206	0
21	7.5	0	49	4.5	213	0
22	8.1	0	46	4.2	214	0
23	8.6	0	41	4.9	218	0
0	8.8	0	38	3.1	246	0
1	7.1	0	41	2.7	258	0
2	6.2	0	42	4.2	222	0
3	6.9	0	39	4.2	214	0
4	7.6	0	36	4	218	0
5	7.8	0	36	2.8	239	0
6	6.4	0	39	3.6	225	0
7	5.8	0	41	4.6	212	0
8	6.8	0	40	3.6	213	3.9
9	6.8	0	41	3.1	219	26.2
10	9	0	41	1.8	280	149.1
11	11.3	0	40	2.4	230	216.5
12	11.8	0	42	2.4	230	283
13	13.4	0	37	2	260	305.9
14	13.2	0	38	1.8	266	267.9
15	12.4	0	38	1.5	273	195.6
16	11.5	0	40	1.4	276	68
17	8	0	50	1.9	294	9.7
18	7.9	0	51	1.9	226	1.1
19	8.2	0	46	2.8	218	0
20	7	0	51	2.6	239	0
21	6.5	0	51	2.5	226	0
22	6.5	0	53	3.6	218	0
23	5.6	0	63	4.8	209	0
0	6	0	64	3.9	221	0
1	6.2	0	68	3.7	220	0
2	5.3	0	72	2.6	210	0
3	6	0	77	2.8	205	0
4	4.7	0	79	1.9	216	0
5	4.5	0	82	1.9	207	0
6	5	0	82	0.5	302	0
7	4.5	0	82	0.9	56	0
8	3.9	0	84	0.9	116	3.8
9	3.7	0	86	0.8	283	28
10	5.7	0	87	0.7	304	153.1
11	8.5	0	78	1.9	350	242.6
12	9.2	0	70	1.8	320	291.6
13	9.3	0	64	1.5	333	294.8
14	9.3	0	62	1.5	326	265.1
15	9.2	0	63	0.8	276	194.1
16	8.5	0	65	0.7	283	76.3
17	6.1	0	71	0.9	299	10.8
18	5.5	0	74	1	309	1.1
19	5.2	0	75	0.5	312	0
20	4.9	0	74	2.2	221	0
21	4.5	0	73	2.5	211	0
22	3.6	0	74	2.7	235	0
23	2.6	0	79	3.1	222	0
0	2.6	0	80	3	205	0
1	2.4	0	80	2.9	211	0
2	2.2	0	79	3.2	218	0
3	2.1	0	78	3.5	204	0
4	2.1	0	78	3	200	0
5	1.7	0	80	1.4	221	0
6	1.8	0	79	0.8	328	0
7	2.1	0	72	1.3	222	0
8	1.5	0	77	2.3	207	3.9
9	1.4	0	80	1.5	202	29.6
10	4	0	77	1.5	193	148.1
11	6.8	0	72	1.2	266	237.2
12	6.9	0	73	1.7	316	269.4
13	6.5	0	74	2.4	345	279
14	6.6	0	71	1.2	332	242.7
15	5.3	0	75	1.3	6	170.6
16	3.9	0	78	1	350	71.1
17	0.6	0	84	0.8	309	11.8
18	-0.7	0	88	0.8	307	0
19	-1.5	0	91	1	209	0
20	-1.7	0	92	0.9	198	0
21	-2.1	0	93	1.8	215	0
22	-2.5	0	94	3.3	204	0
23	-2.5	0	95	3.1	205	0
0	-2.5	0	95	3.1	207	0
1	-2.8	0	95	3.4	215	0
2	-3.7	0	95	2.6	218	0
3	-3.8	0	96	3	200	0
4	-3.4	0	96	2.7	204	0
5	-2.9	0	96	2.2	217	0
6	-3	0	96	0.6	231	0
7	-3.8	0	96	1.2	246	0
8	-3.8	0	96	1.7	201	2.9
9	-3.4	0	96	0.5	71	31.9
10	-2.5	0	96	0.4	166	86.7
11	-1	0	97	0.6	97	163.1
12	-0.5	0.2	97	0.8	229	152.6
13	0.3	0	97	1.1	272	159.1
14	0.9	0	98	0.6	98	137
15	1.2	0	98	1.2	178	90
16	1	0	98	0.4	256	40.1
17	0.6	0	99	0.5	323	7
18	0	0	99	2.1	196	0
19	-0.4	0	99	1.2	205	0
20	-0.7	0	99	2	214	0
21	-0.8	0	99	2.6	212	0
22	-0.9	0	99	3.2	209	0
23	-1.1	0	99	2.3	208	0
0	-1	0	99	2.5	220	0
1	-1.2	0	99	2.5	214	0
2	-1.4	0	99	0.8	196	0
3	-1.8	0	99	3	188	0
4	-2.1	0	99	1.3	267	0
5	-1.8	0	99	4.2	211	0
6	-1.1	0	100	3.2	216	0
7	-0.9	0	100	2.6	272	0
8	-0.2	0	100	1.6	270	2.3
9	0.6	0.2	100	1.4	227	16.6
10	1.1	0	100	1.2	211	48.5
11	1.2	0	100	0	277	90.3
12	1.5	0	101	0.2	166	107.6
13	2	0	101	0.5	11	81.1
14	2.3	0	101	0.7	336	69.5
15	2.3	0	101	0.9	64	48
16	2.2	0	101	0.6	221	23.3
17	1.9	0	101	0.7	76	5.9
18	1.7	0	101	0.7	87	0
19	1.4	0	101	0.9	187	0
20	1.2	0	101	1.3	192	0
21	1	0	101	2.4	222	0
22	0.8	0	101	2.1	217	0
23	1	0	101	1.5	194	0
0	0.6	0	101	0	355	0
1	-0.1	0	101	0	199	0
2	0.4	0	101	0.6	91	0
3	0.3	0	101	1.3	188	0
4	-0.2	0	101	0.4	97	0
5	-1.1	0	101	1.7	207	0
6	-1.8	0	101	1.8	202	0
7	-2.2	0	101	1.3	182	0
8	-2.1	0	101	0.5	127	3.1
9	-2.1	0	101	1.4	217	32
10	-0.9	0.2	101	2.2	220	74.3
11	0.3	0	101	0.8	240	140.6
12	2.4	0.2	101	0.7	284	173
13	3.2	0	101	1.3	355	132.7
14	3.1	0	101	1.2	17	94.4
15	3	0	101	0.7	329	47.6
16	2.7	0	101	0.2	13	22.4
17	2.6	0	101	0.2	86	5
18	2.6	0	101	0.5	85	0
19	2.7	0	101	1.8	225	0
20	2.7	0	101	2.2	226	0
21	2.7	0	101	1.7	222	0
22	3.3	0	101	2.7	245	0
23	3.5	0.2	101	2.9	200	0
0	3.7	0	101	2.9	217	0
1	3.6	0	101	3	220	0
2	4	0	101	2.7	211	0
3	4.3	0	101	3	212	0
4	4.6	0	101	2.8	228	0
5	4.4	0	101	3.2	211	0
6	3.9	0	101	4.1	216	0
7	4.2	0	101	4.6	205	0
8	4.3	0	101	1.5	211	2.7
9	3.8	0	101	2	244	32.1
10	5.2	0	101	2.3	251	88.9
11	6.7	0	101	2	233	225.6
12	8.2	0	101	1.6	244	258.1
13	8.7	0	101	1.9	200	196
14	11.2	0	101	1.1	17	261.8
15	11.7	0	88	0.4	42	179
16	10.4	0	76	2	197	94.4
17	8.1	0	76	1.9	193	17.1
18	6.7	0	80	0.2	131	1.2
19	6.5	0	81	0.9	70	0
20	7	0	79	0.7	25	0
21	6.5	0	81	0.6	132	0
22	6.4	0	84	1.1	100	0
23	6.1	0	84	1.3	81	0
